rel_path,best_iou,score_top1p,score_top5p,score_top10p,score_top50p,score_top100p,AUC_topK
camera0_10_image000301.jpg,0.272,0.764682,0.764682,0.764682,0.764682,0.764655,0.757029
camera0_10_image000471.jpg,0.0761,0.483127,0.483127,0.483127,0.483127,0.483116,0.478293
camera0_12_image000041.jpg,0.6985,0.970316,0.970316,0.970316,0.970316,0.970316,0.960612
camera0_12_image000081.jpg,0.3081,0.788236,0.788236,0.788236,0.788236,0.788236,0.780354
camera0_13_image000185.jpg,0.7209,0.951069,0.951069,0.951069,0.951069,0.951069,0.941558
camera0_13_image000379.jpg,0.4327,0.941349,0.941349,0.941349,0.941349,0.941349,0.931935
camera0_13_image000387.jpg,0.5431,0.950235,0.950235,0.950235,0.950235,0.950235,0.940733
camera0_13_image000421.jpg,0.4425,0.920672,0.920672,0.920672,0.920672,0.920672,0.911465
camera0_13_image000434.jpg,0.4198,0.915655,0.915655,0.915655,0.915655,0.915655,0.906498
camera0_14_image000021.jpg,0.4006,0.871764,0.871764,0.871764,0.871764,0.871764,0.863046
camera0_14_image000381.jpg,0.1521,0.662741,0.662741,0.662741,0.662741,0.662741,0.656113
camera0_15_image000086.jpg,0.1201,0.829698,0.829698,0.829698,0.829698,0.829698,0.821401
camera0_15_image000130.jpg,0.1388,0.802039,0.802039,0.802039,0.802039,0.802039,0.794019
camera0_15_image000132.jpg,0.1368,0.786471,0.786471,0.786471,0.786471,0.786471,0.778606
camera0_15_image000332.jpg,0.4166,0.889379,0.889379,0.889379,0.889379,0.889379,0.880485
camera0_15_image000483.jpg,0.9971,1.0,1.0,1.0,1.0,1.0,0.99
camera0_16_image000001.jpg,0.998,0.999637,0.999637,0.999637,0.999637,0.999637,0.989641
camera0_16_image000161.jpg,0.1466,0.869625,0.869625,0.869625,0.869625,0.869625,0.860929
camera0_17_image000111.jpg,0.0719,0.689624,0.689624,0.689624,0.689624,0.689624,0.682728
camera0_17_image000271.jpg,0.1331,0.697897,0.697897,0.697897,0.697897,0.697897,0.690918
camera0_18_image000071.jpg,0.0715,0.779951,0.779951,0.779951,0.779951,0.779951,0.772152
camera0_18_image000111.jpg,0.0705,0.790782,0.790782,0.790782,0.790782,0.790782,0.782875
camera0_18_image000271.jpg,0.0711,0.777045,0.777045,0.777045,0.777045,0.777044,0.769274
camera0_18_image000461.jpg,0.0378,0.729055,0.729055,0.729055,0.729055,0.729055,0.721765
camera0_20_image000041.jpg,0.2617,0.983964,0.983964,0.983964,0.983964,0.983964,0.974124
camera0_3_image000450.jpg,0.0736,0.775374,0.775374,0.775374,0.775374,0.775374,0.76762
camera0_3_image000490.jpg,0.1285,0.894694,0.894694,0.894694,0.894694,0.894694,0.885747
camera0_8_image000001.jpg,0.1753,0.73275,0.73275,0.73275,0.73275,0.73275,0.725423
camera0_9_image000139.jpg,0.6613,0.857122,0.857122,0.857122,0.857122,0.857122,0.848551
camera0_9_image000475.jpg,0.2983,0.65483,0.65483,0.65483,0.65483,0.65483,0.648282
