image_id,top1,top5,top10,top50,top100,AUC
camera0_10_image000071,0.0,0.0,0.0,0.00022504383666401684,0.015869497455520094,0.004109741505433121
camera0_10_image000091,0.0,0.0,0.0,0.00022670409468546592,0.017238985246640352,0.0044563264184530335
camera0_10_image000211,0.0,0.0,0.0,0.00022018515405694837,0.01401818206248665,0.0036400291262093467
camera0_10_image000241,0.0,0.0,0.0,0.00023994745378781257,0.015919186011097142,0.0041290634918977375
camera0_10_image000271,0.0,0.0,0.0,0.0002617846854579478,0.007096719916059744,0.0019110940277484783
camera0_10_image000301,0.0,0.0,0.0,6.017435217634968e-05,0.002073427798626553,0.0005509448567030203
camera0_10_image000321,0.0,0.0,0.0,6.09801061823729e-05,0.0005216034606375212,0.0001594362756984308
camera0_10_image000331,0.0,0.0,0.0,2.9801529641534116e-05,0.00027784452163733914,8.370890782628719e-05
camera0_10_image000341,0.0,0.0,0.0,5.497636724520197e-05,0.0006171884171333494,0.0001808449187309863
camera0_10_image000351,0.0,0.0,0.0,5.8487149342777014e-05,0.0006467380833395024,0.00018990276569608421
camera0_10_image000361,0.0,0.0,0.0,2.7323448736186294e-05,0.0003510776758689779,0.0001010757281803306
camera0_10_image000371,0.0,0.0,0.0,2.8210604220502874e-05,0.0003256864970541629,9.506706683107684e-05
camera0_10_image000381,0.0,0.0,0.0,2.6789545671792454e-05,0.0003136164993781226,9.13731519159963e-05
camera0_10_image000391,0.0,0.0,0.0,0.00030927761668876646,0.0016061614480298427,0.000546177060118586
camera0_10_image000401,0.0,0.0,0.0,3.451851400251051e-05,0.00021544953648514214,7.00966822448632e-05
camera0_10_image000411,0.0,0.0,0.0,3.7737351298779815e-05,0.000254528473976331,8.142820866518472e-05
camera0_10_image000421,0.0,0.0,0.0,7.18820693601092e-05,0.00029235259930239445,0.00010650008185620877
camera0_10_image000431,0.0,0.0,0.0,7.279993882687662e-05,0.000952095587493928,0.000273519059945024
camera0_10_image000441,0.0,0.0,0.0,8.451049886316885e-05,0.0007928775165112428,0.00023863545819821646
camera0_10_image000451,0.0,0.0,0.0,9.391190325005799e-05,0.0010452799874195032,0.0003066468215327261
camera0_10_image000461,0.0,0.0,0.0,0.00010445816530829834,0.0005319912435701929,0.00018182220735482894
camera0_10_image000471,0.0,0.0,0.0,4.671471032051173e-05,0.0001735438154058023,6.505815504614163e-05
camera0_10_image000481,0.0,0.0,0.0,0.00018290563290225063,0.00043313449151747684,0.00019251632089432332
camera0_10_image000491,0.0,0.0,0.0,0.0001757724125656219,0.00043183902609680424,0.0001889468102815445
camera0_10_image000500,0.0,0.0,0.0,0.0002473603047217923,0.0004637473345269839,0.00022954441490560627
camera0_11_image000008,0.0,0.23268715167951812,0.2279364033851429,0.23971432142390778,0.24891181251048605,0.2341979902581951
camera0_11_image000011,0.0,0.37454622366578477,0.21587893754119927,0.21756674523915603,0.24130256542753983,0.22591718962245766
camera0_11_image000021,0.0,0.29467019421904317,0.2754739638090317,0.23998252435003567,0.24354089435045168,0.2465850102444602
camera0_11_image000028,0.0,0.26054075489034506,0.25435000797180846,0.23753648548910616,0.2441416129551876,0.23927263381072195
camera0_11_image000029,0.0,0.27884046075827423,0.26706885121874363,0.2417703032861174,0.24480163443423514,0.24508621954105944
camera0_11_image000039,0.0,0.040394035945013756,0.14745322830198968,0.1850056274472326,0.2200912050241575,0.17502024403309654
camera0_11_image000041,0.0,0.2623184395245172,0.2533127236822765,0.23431430686698243,0.23988796403289325,0.23657891081361468
camera0_11_image000048,0.0,0.2988623672293349,0.26247224180156276,0.23190931685897265,0.22989307123169594,0.23670456699508183
camera0_11_image000063,0.0,0.24173402924813334,0.22247019847252206,0.18329177332048466,0.20744422717726718,0.1972486674353701
camera0_11_image000072,0.0,0.1637174648882989,0.15171944720247643,0.1484841117995678,0.1895170572577358,0.15727401632804905
camera0_11_image000108,0.0,0.019071155771939474,0.051061355242144835,0.09359334935373015,0.1400058345796808,0.09036916443769467
camera0_11_image000153,0.0,0.006807185137496025,0.057248300174642684,0.07784928366493521,0.10780584731842731,0.07593013166596851
camera0_11_image000154,0.0,0.0016790267276867675,0.04253977756195727,0.07287934227762449,0.10443999001949401,0.0692451592767577
camera0_11_image000167,0.0,0.0,0.0005355724325242133,0.035959851479863025,0.08331805436195558,0.037507020761358416
camera0_11_image000173,0.0,0.0,0.0005697056174011982,0.026830973793495527,0.07986447302182013,0.03249317194590199
camera0_11_image000182,0.0,0.0,0.0005193607555354665,0.029818776355309228,0.08196119738585991,0.03436929785489825
camera0_11_image000191,0.0,0.0,0.0006969326096434962,0.02647594831427185,0.08080882425463513,0.03259918448712179
camera0_11_image000192,0.0,0.0,0.00029689884938851306,0.023121788572527235,0.07700787172452224,0.030023813161494883
camera0_11_image000208,0.0,0.0,0.0,0.003694710030851583,0.0575919698285243,0.01622284037476174
camera0_11_image000209,0.0,0.0,0.0,0.0034044363949558036,0.05713321877269582,0.01597505158677162
camera0_11_image000235,0.0,0.0,0.0,0.04988356007812053,0.06256196747081713,0.03847282212409913
camera0_11_image000236,0.0,0.0,0.0,0.05413187885658483,0.0645585062414909,0.040908052571551
camera0_11_image000244,0.0,0.0,0.0,0.06907424206140714,0.07130857934845528,0.049404599762370244
camera0_11_image000245,0.0,0.0,0.0,0.07575178317898994,0.07452582173043139,0.053252280669851305
camera0_11_image000252,0.0,0.0,0.0,0.08838172113714646,0.07634897693084437,0.059453554287299405
camera0_11_image000256,0.0,0.0,0.0,0.0874130061907118,0.076354738415698,0.059014684232064865
camera0_11_image000262,0.0,0.0,0.0,0.06222119968544027,0.06367503647368167,0.044361918158452626
camera0_11_image000263,0.0,0.0,0.0,0.06235079376292724,0.06214405086021052,0.04403421202865601
camera0_11_image000270,0.0,0.0,0.0,0.043824167284648746,0.052154699718365054,0.03309045475523523
camera0_11_image000271,0.0,0.0,0.0,0.043064768791299085,0.05214936304691674,0.03274392597758934
camera0_11_image000274,0.0,0.0,0.0,0.03301223292598054,0.0463085393525753,0.026699636014984648
camera0_11_image000279,0.0,0.0,0.0,0.017016133686995772,0.03998555796586532,0.017831969344054798
camera0_11_image000283,0.0,0.0,0.0,0.009067572227437789,0.03605331611765887,0.01322599649672888
camera0_11_image000319,0.0,0.0,0.0,0.0002014308403088815,0.01791487213983807,0.004615517083937846
camera0_11_image000332,0.0,0.0,0.0,0.0010693220975928942,0.01084584278831752,0.0032249046878748996
camera0_11_image000380,0.0,0.0,0.0,0.020846073969693308,0.05462035700526884,0.02326850761381714
camera0_11_image000391,0.0,0.0,0.0,0.021989295010167043,0.05756284903269876,0.024531207083585468
camera0_11_image000394,0.0,0.0,0.0,0.02300167618611398,0.05852314420486621,0.02523387912622989
